Disease,Symptoms
Prostate Cancer,"blood in urine, presence of bone metastasis, difficulty urinating"
Cervical Cancer,"lower back pain, precancerous lesions, bleeding outside menstruation"
Liver Cancer,"fever, peritonitis, abdominal pain, weight loss"
Pancreatic Cancer,"enlarged spleen, weight loss, diabetes, abdominal pain, jaundice"
Lung Cancer,"pain, respiratory infection, bloody sputum, cough, breathing discomfort"
Candidiasis,"pain, thick white discharge, itching, inflammation of the glans, vulvar inflammation"
Vitamin C Deficiency,"respiratory infection, delayed wound healing, joint pain, weakness"
Cavity,"pain, cavity presence, bad breath, gum swelling, black spot appearance"
Cataract,"light sensitivity, color perception changes, double vision, white pupil, blurred vision"
Nightmare,"sense of terror, frightening dream, night waking due to fear or anxiety, excessive sweating"
Cellulite,"heavy sensation in affected areas, granular skin texture on buttocks, pressure sensitivity"
Cirrhosis,"abnormal fluid accumulation in the abdomen, digestive bleeding, jaundice, itching"
Muscle Tear,"popping sound, pain, bruising, walking difficulty, swelling"
Infant Colic,"intestinal noises, hard stomach, intense, prolonged crying, bloating, unexplained agitation"
Hepatic Colic,"pain, nausea, vomiting, breathing discomfort"
Renal Colic,"fever, nausea, blood in urine, vomiting, burning urination, chills, abdominal pain"
Colitis,"anemia, pain, fever, constipation, fatigue, diarrhea, bloating"
Conjunctivitis,"light sensitivity, pain, itching, tearing, blurred vision, eye redness, gritty or burning eye sensation"
Constipation,"straining during defecation, lower abdominal pain, hemorrhoids, absence of bowel movements for days, bloating"
Whooping Cough,"cough, sneezing, runny nose, mild fever"
Heat Stroke,"fever, headache, intense thirst, blurred vision, drowsiness, dizziness, sweating"
Coronavirus,"fever, headache, nausea, throat irritation, fatigue, diarrhea, shortness of breath"
Scabies,"skin lesions, itching, widespread itching"
Gastroenteritis,"fever, rapid breathing, vomiting, inability to urinate, abdominal pain, bloody stool"
Gingivitis,"gum swelling, gum redness, pain, bad breath, tooth sensitivity, bleeding"
Glaucoma,"eye pain, halos around lights, nausea, blurred vision, vomiting, redness of the eye"
Gout,"pain, fever, redness, joint stiffness, swelling"
Hemorrhoids,"pain, itching, bleeding, swelling, mucous discharge"
Hepatitis,"nausea, dark urine, light stool, vomiting, abdominal pain, fatigue, jaundice"
Hernia,"pain, burning sensation, bulge, swelling"
Herpes,"pain, fever, itching, burning sensation, blisters"
Hypertension,"headache, nosebleeds, chest pain, dizziness, shortness of breath"
Hypotension,"nausea, fainting, blurred vision, dizziness, fatigue"
Hypothyroidism,"dry skin, weight gain, cold intolerance, constipation, depression, fatigue"
Hyperthyroidism,"tremors, nervousness, weight loss, irritability, rapid heartbeat, sweating"
Insomnia,"waking up too early, difficulty falling asleep, daytime sleepiness, difficulty staying asleep"
Irritable Bowel Syndrome,"constipation, abdominal pain, mucus in stool, diarrhea, bloating"
Jaundice,"light stool, yellowing of the skin and eyes, dark urine, itching"
Laryngitis,"throat discomfort, cough, hoarseness, loss of voice"
Lupus,"fever, rash, hair loss, joint pain, chest pain, fatigue"
Lyme Disease,"fever, rash, headache, joint pain, neck stiffness, fatigue"
Menopause,"irregular menstruation, hot flashes, mood swings, vaginal dryness, night sweats"
Migraine,"nausea, headache, aura, vomiting, sensitivity to light and sound"
Multiple Sclerosis,"muscle weakness, tingling, difficulty walking, fatigue, numbness"
Osteoporosis,"loss of height, bone fractures, back pain, stooped posture"
Otitis,"fever, ear discharge, hearing loss, ear pain"
Ovarian Cyst,"pelvic pain, irregular menstruation, pain during intercourse, abdominal swelling"
Pancreatitis,"fever, nausea, vomiting, rapid pulse, abdominal pain"
Parkinson,"slow movement, tremors, rigidity, loss of automatic movements, postural instability"
Pneumothorax,"rapid heartbeat, chest pain, cough, shortness of breath"
Psoriasis,"silvery scales, red patches of skin, burning sensation, itching"
Rheumatoid Arthritis,"morning stiffness, joint pain, weight loss, fatigue, swelling"
Rosacea,"pimples, redness of the face, neck, and chest, eye irritation, visible blood vessels"
Sciatica,"tingling, pain, muscle weakness, numbness"
Sinusitis,"fever, cough, nasal congestion, nasal discharge, facial pain"
Stroke,"confusion, trouble speaking, weakness, sudden numbness, vision problems"
Tachycardia,"rapid heartbeat, chest pain, dizziness, shortness of breath"
Tendinitis,"pain, limited movement, swelling, stiffness"
Toothache,"pain, fever, headache, swelling"
Trichomoniasis,"pain, vaginal discharge, burning sensation, itching"
Ulcer,"nausea, weight loss, vomiting, abdominal pain, bloating"
Urinary Incontinence,"frequent urination, nocturia, urine leakage, sudden urge to urinate"
Urinary Tract Infection,"fever, blood in urine, painful urination, frequent urination, back pain"
Urticaria,"redness, swelling, itching, hives"
Varicose Veins,"pain, vein swelling, leg heaviness, itching"
Vertigo,"vomiting, nausea, headache, dizziness"
Vitiligo,"white patches on the skin, eye and mouth discoloration, hair whitening"
Warts,"rough to the touch, skin growths, black dots"
Whiplash,"headache, neck stiffness, dizziness, neck pain"
Yeast Infection,"pain, vaginal discharge, burning sensation, itching"
